-1 
-1 
-1 
-1 104 
-1 104 106 
-1 104 106 
-1 104 106 108 
-1 104 106 108 
-1 104 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
-1 104 105 106 108 
