-1 104 201 202 
-1 104 201 202 
-1 104 106 201 202 
-1 104 106 201 202 
-1 104 106 201 202 
-1 104 106 201 202 
-1 104 106 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
-1 104 106 108 201 202 
