-1 109 201 202 
-1 109 201 202 
-1 109 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
-1 108 109 110 111 201 202 
