-1 108 201 202 
-1 108 201 202 
-1 108 201 202 
-1 108 201 202 
-1 108 201 202 
-1 108 201 202 
-1 101 102 108 201 202 
-1 101 102 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
-1 101 102 103 108 201 202 
