-1 201 202 
-1 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
-1 104 105 106 201 202 
